k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F
3.0,0.3981,0.0631,1.262,47.543581616481774,0,20000,0.16504985094070435,429.3356628417969,0.6374745417515275,1.0
3.0,0.3981,0.0631,1.262,47.543581616481774,0,25000,0.09570735692977905,438.6446228027344,0.6178485465654509,1.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,1,0.016863714903593063,456.4202880859375,0.28546835443037977,0.01
3.0,0.0251,15.849,316.98,0.1892863903085368,0,5000,0.30062147974967957,411.5997314453125,0.6109367088607595,0.01
3.0,0.0251,15.849,316.98,0.1892863903085368,0,10000,0.26908349990844727,430.7554931640625,0.7012658227848101,0.01
3.0,0.0251,15.849,316.98,0.1892863903085368,0,15000,0.2370573878288269,439.5270690917969,0.8691645569620253,0.01
3.0,0.0251,15.849,316.98,0.1892863903085368,0,20000,0.3566609025001526,458.817138671875,0.9572658227848101,0.01
3.0,0.0251,15.849,316.98,0.1892863903085368,0,25000,0.22306670248508453,437.8066711425781,1.0,0.01
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,10.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,10.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,10.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,10.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,10.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,10.0
3.0,0.0631,0.0631,1.262,47.543581616481774,0,1,0.018890315666794777,457.11590576171875,0.33988936693300553,0.1
3.0,0.0631,0.0631,1.262,47.543581616481774,0,5000,0.16477307677268982,409.493408203125,0.471419791026429,0.1
3.0,0.0631,0.0631,1.262,47.543581616481774,0,10000,0.3082926273345947,402.49359130859375,0.7558696988322066,0.1
3.0,0.0631,0.0631,1.262,47.543581616481774,0,15000,0.2331106960773468,404.2680969238281,0.8647818070067609,0.1
3.0,0.0631,0.0631,1.262,47.543581616481774,0,20000,0.24768958985805511,418.6632995605469,0.9429625076828518,0.1
3.0,0.0631,0.0631,1.262,47.543581616481774,0,25000,0.14388419687747955,435.84210205078125,1.0,0.1
3.0,0.0251,0.3981,7.962,7.535795026375283,0,1,nan,nan,nan,1.0
3.0,0.0251,0.3981,7.962,7.535795026375283,0,5000,nan,nan,nan,1.0
3.0,0.0251,0.3981,7.962,7.535795026375283,0,10000,nan,nan,nan,1.0
3.0,0.0251,0.3981,7.962,7.535795026375283,0,15000,nan,nan,nan,1.0
3.0,0.0251,0.3981,7.962,7.535795026375283,0,20000,nan,nan,nan,1.0
3.0,0.0251,0.3981,7.962,7.535795026375283,0,25000,nan,nan,nan,1.0
1.0,0.0251,100.0,2000.0,0.03,0,1,nan,486.0784912109375,1.0,0.01
1.0,0.0251,100.0,2000.0,0.03,0,5000,nan,486.0784912109375,1.0,0.01
1.0,0.0251,100.0,2000.0,0.03,0,10000,nan,486.0784912109375,1.0,0.01
1.0,0.0251,100.0,2000.0,0.03,0,15000,nan,486.0784912109375,1.0,0.01
1.0,0.0251,100.0,2000.0,0.03,0,20000,nan,486.0784912109375,1.0,0.01
1.0,0.0251,100.0,2000.0,0.03,0,25000,nan,486.0784912109375,1.0,0.01
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,1,0.01905522681772709,456.21051025390625,0.3034685479129924,0.01
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,5000,0.2570725679397583,426.8464660644531,0.6681951793062905,0.01
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,10000,0.22820571064949036,392.8509521484375,0.7613168724279835,0.01
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,15000,0.24215614795684814,412.481201171875,0.8716049382716049,0.01
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,20000,0.2038419544696808,425.52679443359375,0.9489711934156378,0.01
3.0,0.0631,2.51189,50.23780000000001,1.19431981496005,0,25000,0.1403769552707672,410.1788635253906,1.0,0.01
3.0,0.01,15.849,316.98,0.1892863903085368,0,1,nan,nan,nan,10.0
3.0,0.01,15.849,316.98,0.1892863903085368,0,5000,nan,nan,nan,10.0
3.0,0.01,15.849,316.98,0.1892863903085368,0,10000,nan,nan,nan,10.0
3.0,0.01,15.849,316.98,0.1892863903085368,0,15000,nan,nan,nan,10.0
3.0,0.01,15.849,316.98,0.1892863903085368,0,20000,nan,nan,nan,10.0
3.0,0.01,15.849,316.98,0.1892863903085368,0,25000,nan,nan,nan,10.0
1.0,0.01,15.849,316.98,0.1892863903085368,0,1,nan,nan,nan,0.0316
1.0,0.01,15.849,316.98,0.1892863903085368,0,5000,nan,nan,nan,0.0316
1.0,0.01,15.849,316.98,0.1892863903085368,0,10000,nan,nan,nan,0.0316
1.0,0.01,15.849,316.98,0.1892863903085368,0,15000,nan,nan,nan,0.0316
1.0,0.01,15.849,316.98,0.1892863903085368,0,20000,nan,nan,nan,0.0316
1.0,0.01,15.849,316.98,0.1892863903085368,0,25000,nan,nan,nan,0.0316
3.0,1.0,0.0631,1.262,47.543581616481774,0,1,0.050077173858881,455.468017578125,0.39519811459714244,1.0
3.0,1.0,0.0631,1.262,47.543581616481774,0,5000,0.2012738585472107,396.42132568359375,1.0,1.0
3.0,1.0,0.0631,1.262,47.543581616481774,0,10000,0.15974587202072144,416.48724365234375,0.8444542642509942,1.0
3.0,1.0,0.0631,1.262,47.543581616481774,0,15000,0.11441347748041153,428.80615234375,0.7522462807482693,1.0
3.0,1.0,0.0631,1.262,47.543581616481774,0,20000,0.08547449856996536,436.2175598144531,0.6939166298423921,1.0
3.0,1.0,0.0631,1.262,47.543581616481774,0,25000,0.07103106379508972,440.8109130859375,0.6432464280453675,1.0
3.0,0.01,0.01,0.2,300.0,0,1,nan,nan,nan,0.1
3.0,0.01,0.01,0.2,300.0,0,5000,nan,nan,nan,0.1
3.0,0.01,0.01,0.2,300.0,0,10000,nan,nan,nan,0.1
3.0,0.01,0.01,0.2,300.0,0,15000,nan,nan,nan,0.1
3.0,0.01,0.01,0.2,300.0,0,20000,nan,nan,nan,0.1
3.0,0.01,0.01,0.2,300.0,0,25000,nan,nan,nan,0.1
3.0,1.0,0.01,0.2,300.0,0,1,0.050424620509147644,457.9073486328125,0.5168091168091168,1.0
3.0,1.0,0.01,0.2,300.0,0,5000,0.1260831505060196,418.9072570800781,0.8514719848053182,1.0
3.0,1.0,0.01,0.2,300.0,0,10000,0.13958539068698883,420.59063720703125,1.0,1.0
3.0,1.0,0.01,0.2,300.0,0,15000,0.1731865406036377,425.9867248535156,0.9886039886039886,1.0
3.0,1.0,0.01,0.2,300.0,0,20000,0.16597403585910797,431.66827392578125,0.9715099715099715,1.0
3.0,1.0,0.01,0.2,300.0,0,25000,0.09964253008365631,436.6573486328125,0.9164292497625831,1.0
1.0,0.0251,0.3981,7.962,7.535795026375283,0,1,nan,nan,nan,0.3162
1.0,0.0251,0.3981,7.962,7.535795026375283,0,5000,nan,nan,nan,0.3162
1.0,0.0251,0.3981,7.962,7.535795026375283,0,10000,nan,nan,nan,0.3162
1.0,0.0251,0.3981,7.962,7.535795026375283,0,15000,nan,nan,nan,0.3162
1.0,0.0251,0.3981,7.962,7.535795026375283,0,20000,nan,nan,nan,0.3162
1.0,0.0251,0.3981,7.962,7.535795026375283,0,25000,nan,nan,nan,0.3162
1.0,0.0251,0.3981,7.962,7.535795026375283,0,1,0.018108336254954338,456.4358825683594,0.2624503513596089,0.01
1.0,0.0251,0.3981,7.962,7.535795026375283,0,5000,0.2835388779640198,429.3291015625,0.43497301150830026,0.01
1.0,0.0251,0.3981,7.962,7.535795026375283,0,10000,0.2906668186187744,431.97381591796875,0.7087279763723393,0.01
1.0,0.0251,0.3981,7.962,7.535795026375283,0,15000,0.3358369767665863,436.43768310546875,0.8645483246766473,0.01
1.0,0.0251,0.3981,7.962,7.535795026375283,0,20000,0.3777618706226349,459.5654296875,0.9466340767898971,0.01
1.0,0.0251,0.3981,7.962,7.535795026375283,0,25000,0.22915616631507874,426.03485107421875,1.0,0.01
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,0.1
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,0.1
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,0.1
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,0.1
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,0.1
3.0,0.01,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,0.1
3.0,0.1585,0.01,0.2,300.0,0,1,0.021686596795916557,457.1944580078125,0.5175454712474739,0.01
3.0,0.1585,0.01,0.2,300.0,0,5000,0.08584348112344742,419.7521057128906,0.615285688039684,0.01
3.0,0.1585,0.01,0.2,300.0,0,10000,0.13706697523593903,406.58740234375,0.6689325739481904,0.01
3.0,0.1585,0.01,0.2,300.0,0,15000,0.09170304983854294,409.62384033203125,0.8989527833915121,0.01
3.0,0.1585,0.01,0.2,300.0,0,20000,0.10158615559339523,424.2787780761719,0.9661951129891604,0.01
3.0,0.1585,0.01,0.2,300.0,0,25000,0.1715347170829773,432.791259765625,1.0,0.01
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,100.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,100.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,100.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,100.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,100.0
3.0,0.1585,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,100.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,1,nan,nan,nan,1.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,5000,nan,nan,nan,1.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,10000,nan,nan,nan,1.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,15000,nan,nan,nan,1.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,20000,nan,nan,nan,1.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,25000,nan,nan,nan,1.0
1.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,1,0.017349956557154655,456.3982238769531,0.2624429802331475,0.01
1.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,5000,0.23434843122959137,431.9359436035156,0.4897110998479473,0.01
1.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,10000,0.2709529399871826,434.7880554199219,0.6533198175367461,0.01
1.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,15000,0.26193130016326904,447.0827941894531,0.875114039533705,0.01
