eps_mult,epsilon,eps_modified,barrel,hondadelta,area_diff,area
0.96,1.2,1.152,C3,0.001974772196263075,0.04364767839953237,0.13172245802716057
0.96,1.2,1.152,C4,0.019411234185099602,0.008573651114193857,0.16523763965537305
0.96,1.2,1.152,D2,0.0063618868589401245,0.13639899499853864,0.09508958508469575
0.96,1.2,1.152,D3,0.005878925323486328,0.12626649822721864,0.1098986188273943
0.98,1.2,1.176,B3,0.004032498691231012,0.04676536971378468,0.08729535679906494
0.98,1.2,1.176,C2,0.0012277915375307202,0.07950112851343395,0.09586900791325884
0.98,1.2,1.176,C3,0.001762178959324956,0.038971141428153895,0.13639899499853905
0.98,1.2,1.176,C4,0.01927821896970272,0.0046765369713784675,0.16134052551255765
0.98,1.2,1.176,D2,0.006836300250142813,0.13951668631279096,0.09197189377044343
0.98,1.2,1.176,D3,0.006204180419445038,0.12470765257009248,0.11145746448452046
0.8,1.2,0.96,B3,0.007351861335337162,0.04052998708528005,0.09353073942756959
0.8,1.2,0.96,C2,0.0044291322119534016,0.06235382628504624,0.11301631014164662
0.8,1.2,0.96,C3,0.001242685248143971,0.10756035034170476,0.06780978608498792
0.8,1.2,0.96,C4,0.023862216621637344,0.051441906685163144,0.2081058952263425
0.8,1.2,0.96,D2,0.009622661396861076,0.12470765257009248,0.10678092751314197
0.8,1.2,0.96,D3,0.006509479600936174,0.12158996125584016,0.11457515579877278
0.9,1.2,1.08,B3,0.0035631635691970587,0.04286825557096929,0.09119247094188035
0.9,1.2,1.08,C2,0.0030078969430178404,0.07014805457067702,0.10522208185601581
0.9,1.2,1.08,C3,0.0006684850668534636,0.06780978608498778,0.10756035034170505
0.9,1.2,1.08,C4,0.021438246592879295,0.02650037617114465,0.18316436471232392
0.9,1.2,1.08,D2,0.007754217367619276,0.14341380045560634,0.08807477962762802
0.9,1.2,1.08,D3,0.006912218872457743,0.11847226994158785,0.1176928471130251
0.48,1.2,0.576,B3,0.0031581970397382975,0.04676536971378468,0.08729535679906494
0.48,1.2,0.576,C2,0.01987474039196968,0.04052998708528005,0.1348401493414129
0.48,1.2,0.576,C3,8.777979928709101e-06,0.1738112907695664,0.001558845657126156
0.48,1.2,0.576,C4,0.03658636286854744,0.08028055134199703,0.2369445398831765
0.48,1.2,0.576,D2,0.008238430134952068,0.12314880691296631,0.10833977317026813
0.48,1.2,0.576,D3,0.00903537217527628,0.11769284711302477,0.11847226994158819
