k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,100.0,5000,0.1943753957748413,356.4278259277344,1.0
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,100.0,10000,0.2500078082084656,385.2673645019531,0.7513928914505283
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,100.0,15000,0.10992269217967987,405.5760803222656,0.6384245917387128
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,100.0,20000,0.07027572393417358,413.6390380859375,0.5992315081652257
3.0,0.39809998869895935,0.06310000000000002,1.2620000000000002,47.543581616499985,100.0,25000,0.04668699577450752,417.52142333984375,0.588088376560999
3.0,0.009999999776482582,0.010000000000000004,0.20000000000000007,300.0,200.0,1,0.01610717363655567,455.7316589355469,0.3458403415707077
3.0,0.009999999776482582,0.010000000000000004,0.20000000000000007,300.0,200.0,5000,0.03504812717437744,444.05487060546875,0.32358649243110366
3.0,0.009999999776482582,0.010000000000000004,0.20000000000000007,300.0,200.0,10000,0.1579211801290512,491.745361328125,0.6051235606158624
3.0,0.009999999776482582,0.010000000000000004,0.20000000000000007,300.0,200.0,15000,0.1617034673690796,533.4218139648438,0.7927286841764782
3.0,0.009999999776482582,0.010000000000000004,0.20000000000000007,300.0,200.0,20000,0.1175229400396347,505.92510986328125,0.8980463190580928
3.0,0.009999999776482582,0.010000000000000004,0.20000000000000007,300.0,200.0,25000,0.06987598538398743,479.9028015136719,1.0
3.0,0.15850000083446503,100.0,2000.0,0.0,300.0,1,nan,486.0784912109375,1.0
3.0,0.15850000083446503,100.0,2000.0,0.0,300.0,5000,nan,486.0784912109375,1.0
3.0,0.15850000083446503,100.0,2000.0,0.0,300.0,10000,nan,486.0784912109375,1.0
3.0,0.15850000083446503,100.0,2000.0,0.0,300.0,15000,nan,486.0784912109375,1.0
