# k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
3.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,2.000000000000000000e+02,2.500000000000000000e+04,8.537966758012771606e-02,4.664658203125000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.265883590471484865e+01
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,3.000000000000000000e+02,1.000000000000000000e+00,2.158648706972599030e-02,4.559212646484375000e+02,6.322719655254968041e-01,0.000000000000000000e+00,3.345688150623498530e-02
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,3.000000000000000000e+02,5.000000000000000000e+03,8.974541723728179932e-02,4.180906982421875000e+02,7.677759157289920644e-01,0.000000000000000000e+00,8.508909886259033994e-01
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,3.000000000000000000e+02,1.000000000000000000e+04,8.759231865406036377e-02,3.910339355468750000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.324712283633962429e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,3.000000000000000000e+02,1.500000000000000000e+04,4.966200515627861023e-02,4.069385681152343750e+02,9.511611204213550330e-01,0.000000000000000000e+00,4.714025024496232064e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,3.000000000000000000e+02,2.000000000000000000e+04,3.797150403261184692e-02,4.170355834960937500e+02,9.784534354800096256e-01,0.000000000000000000e+00,7.000411019290040393e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,3.000000000000000000e+02,2.500000000000000000e+04,4.813905060291290283e-02,4.305581054687500000e+02,9.679195594924586699e-01,0.000000000000000000e+00,8.952644778729586861e+00
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.000000000000000000e+02,1.000000000000000000e+00,3.175507485866546631e-02,4.582387084960937500e+02,5.396733909702209342e-01,0.000000000000000000e+00,4.752094544620066169e-03
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.000000000000000000e+02,5.000000000000000000e+03,1.943753957748413086e-01,3.564278259277343750e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.833286977501200843e+00
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.000000000000000000e+02,1.000000000000000000e+04,2.500078082084655762e-01,3.852673645019531250e+02,7.513928914505283441e-01,0.000000000000000000e+00,4.669524322156165752e+00
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.000000000000000000e+02,1.500000000000000000e+04,1.099226921796798706e-01,4.055760803222656250e+02,6.384245917387127989e-01,0.000000000000000000e+00,7.891141381236068675e+00
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.000000000000000000e+02,2.000000000000000000e+04,7.027572393417358398e-02,4.136390380859375000e+02,5.992315081652257458e-01,0.000000000000000000e+00,1.082038288439821727e+01
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,1.000000000000000000e+02,2.500000000000000000e+04,4.668699577450752258e-02,4.175214233398437500e+02,5.880883765609989933e-01,0.000000000000000000e+00,1.299827942290462346e+01
3.000000000000000000e+00,9.999999776482582092e-03,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+00,1.610717363655567169e-02,4.557316589355468750e+02,3.458403415707076989e-01,0.000000000000000000e+00,3.610414695003730939e-02
3.000000000000000000e+00,9.999999776482582092e-03,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,5.000000000000000000e+03,3.504812717437744141e-02,4.440548706054687500e+02,3.235864924311036561e-01,0.000000000000000000e+00,1.444794983129840560e+00
3.000000000000000000e+00,9.999999776482582092e-03,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+04,1.579211801290512085e-01,4.917453613281250000e+02,6.051235606158623659e-01,0.000000000000000000e+00,2.496669049997471745e+00
