k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
3.0,0.25,5.0,100.0,0.6,0,10000,0.2981577217578888,403.5299072265625,0.9384686560259079,0.08,0.9815725844844855
3.0,0.25,5.0,100.0,0.6,0,15000,0.20375798642635345,423.6880798339844,0.9356928059218136,0.08,1.4250044001441373
3.0,0.25,5.0,100.0,0.6,0,20000,0.1478751003742218,435.82305908203125,0.9528105482303956,0.08,1.5667283465127457
3.0,0.25,5.0,100.0,0.6,0,25000,0.11809569597244263,445.15631103515625,1.0,0.08,1.54944662211454
3.0,0.25,5.0,100.0,0.6,0,1,nan,nan,nan,0.08,nan
3.0,0.25,15.0,300.0,0.2,0,5000,0.2837145924568176,377.77032470703125,1.0,3.0,0.039049483415384334
3.0,0.25,15.0,300.0,0.2,0,10000,0.24098950624465942,403.0940246582031,0.8643541289153508,3.0,0.2236041334081479
3.0,0.25,15.0,300.0,0.2,0,15000,0.16329044103622437,419.4093933105469,0.799119855034947,3.0,0.5213329680895923
3.0,0.25,15.0,300.0,0.2,0,20000,0.09288769960403442,432.8046875,0.7913538700491846,3.0,0.7494799391642566
3.0,0.25,15.0,300.0,0.2,0,25000,0.058752838522195816,440.18011474609375,0.8275951333160756,3.0,0.8340305377257897
3.0,0.25,15.0,300.0,0.2,0,1,nan,nan,nan,3.0,nan
3.0,0.03,5.0,100.0,0.6,0,1,nan,nan,nan,0.48,nan
3.0,0.03,5.0,100.0,0.6,0,5000,nan,nan,nan,0.48,nan
3.0,0.03,5.0,100.0,0.6,0,10000,nan,nan,nan,0.48,nan
3.0,0.03,5.0,100.0,0.6,0,15000,nan,nan,nan,0.48,nan
3.0,0.03,5.0,100.0,0.6,0,20000,nan,nan,nan,0.48,nan
3.0,0.03,5.0,100.0,0.6,0,25000,nan,nan,nan,0.48,nan
3.0,0.06,0.55,11.0,5.454545454545454,0,5000,0.2937641739845276,440.8448181152344,0.720297341564823,0.19,2.2095133999603966
3.0,0.06,0.55,11.0,5.454545454545454,0,10000,0.29162806272506714,410.4926452636719,0.7757339044979211,0.19,4.114993644150293
3.0,0.06,0.55,11.0,5.454545454545454,0,15000,0.33277627825737,409.6404113769531,0.8979463273277056,0.19,5.942343233831674
